,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
1592,20120618-0,Final,Monday 18 June 2012,Beechcraft Beechjet 400A,N79TE LLC,N826JH,RK-70,1993,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 4,Damaged beyond repair,"Atlanta-DeKalb Peachtree Airport, GA (PDK) (   United States of America)",Landing (LDG),Executive,"Gadsden-Northeast Alabama Regional Airport, AL (GAD/KGAD), United States of America","Atlanta-DeKalb Peachtree Airport, GA (PDK/KPDK), United States of America","A Beechcraft 400A Beechjet, registered N826JH, ran off the end of runway 20L after landing at DeKalb-Peachtree Airport, GA (PDK) and then went through a fence before coming to rest near Dresden Drive. The airplane sustained substantial damage, and the airline transport rated pilot and co-pilot sustained serious injuries, while the two passengers sustained minor injuries. The pilot-in-command reported that presence of a Cessna airplane on final approach to runway 20R was a distraction. He felt rushed to land the airplane. He also reported that they used up 25 to 35 percent of the runway before touchdown, and after touchdown until coming to rest, the normal brakes were continuously applied, but the effectiveness was reported as being low.",10:06,2 Pratt & Whitney Canada JT15D-5,,,,,,,,,,,
1593,20120713-0,Final,Friday 13 July 2012,Gulfstream G-IV,Universal Jet Aviation,N823GA,1005,1987,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3,Destroyed,Le Castellet Airport (CTT) (   France),Landing (LDG),Ferry/positioning,"Nice-Côte d'Azur Airport (NCE/LFMN), France","Le Castellet Airport (CTT/LFMQ), France","A Gulfstream G-IV corporate jet, N823GA, was destroyed when it crashed at Le Castellet Airport (CTT), France. All three occupants were killed.The aircraft initially arrived at Nice-Côte d'Azur Airport (NCE) following a flight from Istanbul-Sabiha Gökçen International Airport, Turkey. Three passengers deplaned at Nice. Since the parking area at Nice was full, the airplane was to be ferried to Le Castellet. Takeoff was accomplished at 14:56 hours local time and the aircraft climbed to FL160 for a short flight to Le Castellet.At the destination, the crew was cleared to perform a visual approach to runway 13. The autopilot and the auto-throttle were disengaged, the gear was down and the flaps in the landing position. The GND SPOILER UNARM message, indicating nonarming of the ground spoilers, was displayed on the EICAS and the associated single chime aural warning was triggered. This message remained displayed on the EICAS until the end of the flight since the crew forgot to arm the ground spoilers during the approach. At a height of 25 ft, while the aircraft was flying over the runway threshold slightly below the theoretical descent path, a SINK RATE warning was triggered. The pilot flying corrected the flight path and the touchdown of the main landing gear took place 15 metres after the touchdown zone, which is 365 metres from the threshold, and slightly left of the centre line of runway 13. The ground spoilers, not armed, did not automatically deploy. The crew braked and actuated the deployment of the thrust reversers, which did not deploy completely. The hydraulic pressure available at brake level slightly increased. The deceleration of the airplane was slow. Four seconds after touchdown, a MASTER WARNING was triggered. A second MASTER WARNING was generated five seconds later.The nose landing gear touched down for the first time 785 metres beyond the threshold before the aeroplane's pitch attitude increased again, causing a loss of contact of the nose gear with the ground. The aircraft crossed the runway centre line to the right, the crew correcting this by a slight input on the rudder pedals to the left. They applied a strong nose-down input and the nose gear touched down on the runway a second time, 1050 metres beyond the threshold.The speedbrakes were then manually actuated by the crew with an input on the speed brake control, which then deployed the panels. Maximum thrust from the thrust reversers was reached one second later. The aircraft at this time was 655 metres from the runway end and its path began to curve to the left. In response to this deviation, the crew made a sharp input on the right rudder pedal, to the stop, and an input on the right brake, but failed to correct the trajectory. The aeroplane, skidding to the right, ran off the runway to the left 385 metres from the runway end at a ground speed of approximately 95 knots.It struck a runway edge light, the PAPI of runway 31, a metal fence then trees and caught fire instantly.An aerodrome firefighter responded quickly onsite but did not succeed in bringing the fire under control.",15:18,2 Rolls-Royce Tay 611-8,,Written off (damaged beyond repair),424 m (1391 feet) amsl,UJT823,12210,,,,5393,,
1594,20120806-0,Final,Monday 6 August 2012,Embraer EMB-505 Phenom 300,Dalia Air,CN-MBR,50500025,2011,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Substantial,St. Gallen-Altenrhein Airport (ACH) (   Switzerland),Landing (LDG),Executive,"Genève-Cointrin Airport (GVA/LSGG), Switzerland","St. Gallen-Altenrhein Airport (ACH/LSZR), Switzerland","An Embraer 505 Phenom 300 corporate jet was damaged following a runway excursion accident at St. Gallen-Altenrhein Airport (ACH), Switzerland. All three on board survived.The jet departed Genève-Cointrin Airport (GVA) about 15:00 on a flight to St. Gallen. It landed on runway 10 but overshot the runway, broke through a fence and came to standstill in a field.",15:40,2 Pratt & Whitney Canada PW535E,,Written off (damaged beyond repair),,211,510,,,,,,
1595,20120817-0,Final,Friday 17 August 2012,Embraer ERJ 190-100 IGW (ERJ-190AR),Mandarin Airlines,B-16825,19000167,2008,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 104,Fatalities: 0 / Occupants: 110,Substantial,Magong Airport (MZG) (   Taiwan),Landing (LDG),Domestic Scheduled Passenger,"Taipei-Songshan Airport (TSA/RCSS), Taiwan","Magong Airport (MZG/RCQC), Taiwan","A Mandarin Airlines Embraer ERJ-190, registration B-16825, sustained substantial damage in a runway excursion accident at Magong (also known as Makung), Taiwan.Flight 369 departed Taipei-Sung Shan on a domestic service to Magong. The flight was cleared to land on runway 20. Runway length available on that runway was 6890 feet and the surface was wet. The airplane crossed the runway threshold at an altitude of about 22 feet. It descended slowly, touching down on the main wheels at 2830 feet past the runway threshold. The flight crew felt that the deceleration was not what they expected and intentionally steered the plane to the left side of the runway. Just prior to reaching the runway end, they steered the plane onto the grass. The nose landing gear was ruptured and fuselage skin was damaged due to colliding with the concrete base of four taxiway lights.",21:24,2 General Electric CF34-10E5,,Repaired,,AE369,8865,,,,9006,,
1596,20120831-0,Preliminary,Friday 31 August 2012,ATR 42-500,Pakistan International Airlines - PIA,AP-BHJ,657,2006-12-23  (5 years 8 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 42,Fatalities: 0 / Occupants: 46,Substantial,Lahore Airport (LHE) (   Pakistan),Landing (LDG),Domestic Scheduled Passenger,"Islamabad-Benazir Bhutto International Airport (ISB/OPRN), Pakistan","Lahore Airport (LHE/OPLA), Pakistan","A Pakistan International Airlines ATR 42-500 passenger plane was damaged in a landing accident at Lahore Airport (LHE), Pakistan. No injuries were reported.Flight PK653 departed Islamabad-Benazir Bhutto International Airport (ISB) at 14:04 on a domestic flight to Lahore. Upon landing at Lahore's runway 36R/18L the airplane ran off the runway. The right hand main gear had collapsed and the airplane came to rest, tilting to the right. One of the occupants reported that the plane bounced on landing and left the runway.",ca 15:20,2 Pratt & Whitney Canada PW127E,,Written off (damaged beyond repair),,PK653,,,,,,,
1597,20120918-0,Final,Tuesday 18 September 2012,Beechcraft Beechjet 400,Dewberry Air LLC,N428JD,RJ-13,1986,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Substantial,"Macon Downtown Airport, GA (MAC) (   United States of America)",Landing (LDG),Executive,"Charleston International Airport, SC (CHS/KCHS), United States of America","Macon Downtown Airport, GA (MAC/KMAC), United States of America","A Beechcraft 400 Beechjet corporate jet sustained substantial damage in a runway excursion accident at Macon Downtown Airport, GA (MAC).Three people on board sustained minor injuries.The plane left Charleston International Airport, SC about 09:20 on a flight to Macon, GA. The airplane landed at Macon on runway 28 within the first 1,000 feet and there was water visible on the runway. Maximum reverse thrust, braking, and ground spoilers were deployed; however, both pilots reported a ""pulsation"" in the brake system. The airplane departed the end of the runway, traveled into the grass, went down an embankment, across Ocmulgee East Blvd, and into the trees. Runway 28 is a 4696 ft (1431 m) asphalt runway.",10:03,2 Pratt & Whitney Canada JT15D-5A,,Written off (damaged beyond repair),,,5416,,,,,,
1598,20120921-0,,Friday 21 September 2012,de Havilland Canada DHC-6 Twin Otter 300,Tara Air,9N-ABQ,655,1979-11-29  (32 years 10 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 7,Substantial,Dolpa Airport (DOP) (   Nepal),Takeoff (TOF),Domestic Scheduled Passenger,"Dolpa Airport (DOP/VNDP), Nepal","Nepalganj Airport (KEP/VNNG), Nepal","The Tara Air DHC-6-300 Twin Otter lost directional control during takeoff from Dolpa Airport in Nepal. The left wing, no. 1 engine and wheels were damaged after impacting the perimeter wire fence. All 7 occupants remained unhurt.",09:27,,,Repaired,,,,,,,,,
1599,20121010-0,Final,Wednesday 10 October 2012,Embraer EMB-500 Phenom 100,PNM Consultoria Ltda.,PR-PNM,50000144,2010,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 5,Substantial,"Porto Alegre Airport, RS (POA) (   Brazil)",Landing (LDG),Private,"Rosario-Islas Malvinas International Airport, SF (ROS/SAAR), Argentina","Porto Alegre Airport, RS (POA/SBPA), Brazil","The aircraft took off from Rosario Airport, Argentina, to Porto Alegre Airport, Brazil. During rollout after landing run, the aircraft gradually shifted to the right until it left the runway.In the grassy area, the aircraft crashed into a concrete box, and then with another concrete box leading to the final stop of the aircraft.",16:15,,,Repaired,,,,,,,,,
1600,20121016-0,Final,Tuesday 16 October 2012,Bombardier CL-600-2C10 Regional Jet CRJ-701ER,,F-GRZE,10032,2001,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 53,Fatalities: 0 / Occupants: 57,Substantial,Lorient-Lann Bihoué Airport (LRT) (   France),Landing (LDG),Domestic Scheduled Passenger,"Paris-Orly Airport (ORY/LFPO), France","Lorient-Lann Bihoué Airport (LRT/LFRH), France","Brit Air Flight 937QL departed Paris-Orly, France at 20:30 on a domestic flight to Lorient. The captain was pilot flying. This was the fifth and last flight of the day for the crew.At 21:00, just prior to descent, the crew listened to ATIS information Whisky, which indicated that runway 07 was in use with a PAR procedure. Four minutes later the controller at Lorient reported that winds were from 160° at 17 kt with gusts to 26 kt. The flight then requested an ILS approach to runway 25 (CAT I), which was approved.At 21:10, the controller repeated the wind conditions and reported that ""the runway is wet with puddles (mouillée avec flaques deau)"" and that the preceding aircraft had difficulties during landing due to aquaplaning. Shortly thereafter, the controller reported showers at the airfield and the visibility had decreased to 2000 m.At 21:12, the crew was cleared to descend to 3000 ft. The controller stated that a runway inspection found that the runway was ""wet with puddles"", repeating the information about the previous landing.At 21:20, the aircraft was established on the ILS at an altitude of about 1900 ft and a speed of 180 kt. Planned approach speed Vapp was 140 kts. The autopilot was engaged. The flight was cleared to land and at 1000 ft, with a 4 knot tail wind, the aircraft was established on the ILS with a speed of 144 kt. The crew concluded that the approach was stable and continued their descent through the rain. Wind screen wipers were set at maximum. Meanwhile the speed increased to 154 knots at the time the airplane passed 500 feet.The autopilot was then disconnected. The airplane crossed the threshold of runway 25 at a height of 56 feet and at a speed of 153 knots. The copilot reported to the captain that visibility was poor and that they were slightly left of the runway centreline. Nine seconds later, the main gear touched down about 1130 m from the threshold of runway 25, which is 2230 m long. The ground speed was 140 kts. The spoilers were then deployed and the crew deployed the thrust reversers, applying maximum reverse thrust. The airplane did not decelerate as expected and left the runway at a ground speed of 66 kts. It struck localizer antennas before coming to rest about 200 m from the threshold of runway 07.The crew issued a distress call and ordered the evacuation of the aircraft.",21:22,2 General Electric CF34-8C5B1,,Repaired,,937QL,19841,,Air France,Brit Air,19063,,
1601,20121019-1,Preliminary,Friday 19 October 2012,Antonov An-12B,Air Mark Aviation,EK12112,01347907,1971,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 6,Damaged beyond repair,Shindand Airport (OAH) (   Afghanistan),Landing (LDG),Cargo,?,"Shindand Airport (OAH/OASD), Afghanistan","An Antonov 12B transport aircraft contracted by the U.S. military crashed at Shindand Air Base in Afghanistan and was destroyed along with 4,700 pounds of mail inbound to Afghanistan.After touchdown in good weather conditions the plane bounced. After the second hard touchdown the left main gear broke. Having moved further down the runway, the plane went off the left side of the runway some 1750 m past the threshold. It struck a drainage ditch and caught fire.",18:00,,,,,,,,,,,,
1602,20121030-0,Preliminary,Tuesday 30 October 2012,Let L-410UVP,Cetraca Aviation Service,9Q-CAZ,790205,1979,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 15,Fatalities: 0 / Occupants: 18,Substantial,Butembo Airport (   Democratic Republic of the Congo),Landing (LDG),Passenger,"Goma Airport (GOM/FZNA), Democratic Republic of the Congo","Butembo Airport (FZBM), Democratic Republic of the Congo","A Let L-410 passenger plane sustained substantial damage in a runway excursion accident at Butembo Airport, D.R. Congo. The fifteen passengers and three crew members survived the accident.The airplane, operated by Cetraca Aviation Service, carried out a flight from Goma to Butembo.",ca 15:00,2 Walter M-601D,,,,,,,,,,,
1603,20121030-1,Preliminary - official,Tuesday 30 October 2012,Cessna 560 Citation V,Can-West Corporate Air Charter,C-FBCW,560-0191,1992,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Substantial,"Edmonton International Airport, AB (YEG) (   Canada)",Landing (LDG),Ferry/positioning,"Edmonton City Centre Airport, AB (YXD/CYXD), Canada","Edmonton International Airport, AB (YEG/CYEG), Canada","A Cessna 560 Citation V corporate jet sustained substantial damage in a landing accident at Edmonton International Airport, AB (YEG), Canada. Both pilots sustained minor injuries.The airplane was on an IFR flight from Edmonton City Centre Airport (YXD) to Edmonton International Airport under instrument meteorological conditions. C-FBCW encountered moderate mixed icing during the flight and had activated the de-icing system a number of times. During the landing on runway 02, the airplane experienced a hard landing which caused the right main landing gear to collapse. The aircraft veered off the runway and came to rest in the infield on the right side of the runway.",06:33,2 Pratt & Whitney Canada JT15D-5D,,Written off (damaged beyond repair),,,,,,,,,
1604,20121109-1,Final,Friday 9 November 2012,Curtiss C-46A-45-CU Commando,Buffalo Airways,C-GTXW,30386,1944,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Substantial,"Yellowknife Airport, NT (YZF) (   Canada)",Landing (LDG),Unknown,"Yellowknife Airport, NT (YZF/CYZF), Canada","Yellowknife Airport, NT (YZF/CYZF), Canada","The Buffalo Airways Curtiss C-46A (C-GTXW) was operating as BFL509 on a local flight at Yellowknife, NT (CYZF). BFL509 landed on runway 10 and rolled to the intersection of runway 16/34 where the left main gear collapsed. The aircraft came to rest on the left wing resulting in substantial damage. There were no injuries to the 3 crew members. The aircraft had indicated three green and amber (normal) landing gear lights on approach. The cause of the collapse was found to be foreign object intrusion. It was found that a ball-peen hammer was lodged between the inboard drag strut and folding member. It is thought that the side load, which the hammer imposed, caused the down lock to slip out before full weight of the aircraft could insert the automatic gear pin. The aircraft was hoisted, the hammer removed and the gear locked in normally.",12:15,2 Pratt & Whitney R-2800-51M3,,Repaired,,509,,,,,,,
1605,20121111-0,Final,Sunday 11 November 2012,Cessna 525B CitationJet CJ3,Tropic Air Táxi Aéreo,PR-MRG,525B-0187,2008,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 3,Damaged beyond repair,"São Paulo-Congonhas Airport, SP (CGH) (   Brazil)",Landing (LDG),Unknown,"Florianópolis-Hercilio Luz International Airport, SC (FLN/SBFL), Brazil","São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil","A Cessna 525B CitationJet CJ3 corporate jet sustained substantial damage in a runway excursion accident at São Paulo-Congonhas Airport, SP (CGH), Brazil. The captain suffered serious injuries while the co-pilot and passenger suffered minor injuries.The airplane landed at high speed on the second third of runway 35R. Runway length remaining was approximately between 700 and 750 meters, while the aircraft would have needed 826 meters to stop. The aircraft overran the runway, bounced down a slope and crashed at the perimeter fence near Avenida dos Bandeirantes.",17:21,,,,,,,,,,,,
1606,20121113-0,Final,Tuesday 13 November 2012,Swearingen SA226-TC Metro II,Zorex Air Transport,EC-JYC,TC-303,1979,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2,Substantial,Murcia-San Javier Airport (MJV) (   Spain),Takeoff (TOF),Ferry/positioning,"Murcia-San Javier Airport (MJV/LELC), Spain","Huesca-Pirineos Airport (HSK/LEHC), Spain","The Metro II turboprop plane had conducted a flight to transport a patient from Pamplona Airport to Murcia Airport (MJV), Spain. At 12:05, approximately one hour after landing in Murcia, it was preparing to take off on a ferry flight to Huesca Airport (HSK). The first officer was pilot flying (PF).During the takeoff run on runway 05R, the aircraft veered left and departed the runway. During its run, it crossed the first access taxiway on the left and came to a stop very close to the intersection of said taxiway and the runway.The crewmembers were uninjured and exited the airplane under their own power. The airplane suffered significant damage.",12:05,2 Garrett TPE331-10UA-511G,,Repaired,,,,,,,,,
1607,20121116-0,Final,Friday 16 November 2012,Airbus A300B4-203F,,EI-EAC,250,1983-05-31  (29 years 6 months),Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Substantial,Bratislava-M. R. Stefánik Airport (BTS) (   Slovakia),Landing (LDG),Cargo,"Leipzig Airport (LEJ/EDDP), Germany","Bratislava-M. R. tefánik Airport (BTS/LZIB), Slovakia","A Airbus A300B4-203F cargo plane sustained damage in a landing accident at Bratislava-M. R. Stefánik Airport (BTS), Slovakia. The three crew members were not injured.The crew took off from Leipzig Airport (LEJ), Germany at 04:38 bound for Bratislava. The flight of around 45 minutes took place without incident and the crew was cleared for an ILS approach to runway 22. The captain was pilot flying.During the descent, the controller informed the crew that the wind was from 120° at 7 kt. The ILS 22 approach was stable.At 05:25, the main landing gear touched down about 700 metres from the threshold of runway 22. After about 360 metres of the landing run, the crew felt some violent vibrations, which increased as the speed decreased. The airplane veered off to the left. The crew applied heavy braking and tried in vain to use the nosewheel steering.At less than 45 kt, the airplane exited the runway to the left about 800 metres after nosewheel touchdown. The nose gear struck a recessed concrete inspection pit and collapsed. The airplane slid for a few dozen metres before coming to a stop. The crew evacuated the aeroplane.",05:25,2 General Electric CF6-50C2,,Written off (damaged beyond repair),,6321,,,DHL Aviation,Air Contractors,,,
1608,20121119-0,Preliminary,Monday 19 November 2012,Antonov An-26,,3X-GFN,,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Substantial,Yida Airstrip (   South Sudan),Landing (LDG),Cargo,"Entebbe Airport (EBB/HUEN), Uganda","Yida Airstrip, South Sudan","An Antonov 26 transport plane sustained substantial damage in a runway excursion accident at Yida, South Sudan.The airplane could not be stopped on the airstrip and overran onto a rough area with bushes. The left hand main undercarriage collapsed, causing damage to the no. 1 prop. The airplane came to rest close to a refugees camp.The airplane was owned by Trast Aero and chartered by brokerage company Ultimate Air for humanitarian cargo flights.",,,,Written off (damaged beyond repair),,,,,Ultimate Air,Trast Aero,,,
1609,20121121-1,Final,Wednesday 21 November 2012,Antonov An-26B-100,Polyarnye Avialinii,RA-26061,11108,1981,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 21,Fatalities: 0 / Occupants: 26,Substantial,Deputatskiy Airport (   Russia),Landing (LDG),Domestic Scheduled Passenger,"Yakutsk Airport (YKS/UEEE), Russia","Deputatskiy Airport (UEWD), Russia","An Antonov 26B-100 passenger plane sustained substantial damage in a runway excursion accident at Deputatskiy Airport, Russia.The airplane operated on a passenger flight from Yakutsk Airport (YKS) to Deputatskiy Airport with 21 passengers and five crew members on board.The weather at Deputatskiy Airport at the time of landing included a 4 m/s wind from 290 degrees, visibility 5000 meters, light snow, solid cloud cover at 2100 m, an air temperature -20° C, and a pressure of 732 mm Hg.The flight was cleared to land on runway 10. The An-26 touched down slightly left of the runway centreline and drifted further to the left. The left hand main landing gear ran into a 20-50 cm high snow bank at the edge of the runway. The airplane ran off the runway and came to rest on snowy terrain. The nose undercarriage collapsed and the right hand wing twisted forward, causing the no. 2 engine to touch the ground.",14:31,2 Ivchenko AI-24VT,,Written off (damaged beyond repair),,,22698,,,,11257,,
1610,20121229-0,Final,Saturday 29 December 2012,Tupolev Tu-204-100V,Red Wings Airlines,RA-64047,1450744864047,2008,Fatalities: 5 / Occupants: 8,Fatalities: 0 / Occupants: 0,Fatalities: 5 / Occupants: 8,Destroyed,Moskva-Vnukovo Airport (VKO) (   Russia),Landing (LDG),Ferry/positioning,"Pardubice Airport (PED/LKPD), Czech Republic","Moskva-Vnukovo Airport (VKO/UUWW), Russia","A Tupolev 204 passenger plane, RA-64047, was destroyed following a landing accident at Moskva-Vnukovo Airport (VKO), Russia. The captain, copilot, flight engineer and two flight attendants were killed. The remaining three crew members sustained serious injuries.The airplane departed Pardubice Airport (PED), Czech Republic about 11:10 local time as Red Wings Airlines flight RWZ9268 to Moskva-Vnukovo Airport (VKO). Flight 9268 approached from the north and was cleared for landing on runway 19. The airplane was fully configured for landing with flaps at -37°, slats at -23°, and landing gear down. Decision height was 60 metres and the planned final approach speed was 210 km/h (113 kts).The final approach was flown in director mode with disabled automatic throttle. The approach was flown unstabilized at a speed of 255 km/h (138 kts) without significant deviations from the glide path. The airplane passed the runway threshold at a height of 15 meters (50 ft) and an airspeed of 260 km/h (140 kts).The throttles were moved to the 'idle' position and the airplane touched down at a speed of 230 km/h (124 kts), at a distance of about 900 - 1000 m (2950-3280 ft) from the threshold of the 3060 m (10.040 ft) long runway.The aircraft touched down on the left hand main gear first while the wind was gusting to about 11,5 m/sec. When the nose gear touched down, the right hand undercarriage strut had not yet compressed.Immediately the crew moved the throttle levers to ""maximum reverse"". The thrust reversers did not deploy. Also, the air brakes and spoilers did not deploy automatically.After selecting maximum reverse, thrust was increased to 90% (nominal operation). The minimum speed on landing was 200-205 km/h (108-111 kts). After that the speed increased to 240 km/h (130 kts). The increase in speed led to additional ""unloading"" of the main landing gear. The airplane rolled left and right but there was no simultaneous touchdown of both main landing gears. The pilots used the brakes but they were ineffective because the pressure in the wheel brakes is only applied when both landing gear struts are compressed. Five seconds after switching off the ""maximum reverse"", the flight engineer requested the reversers be activated again. Maximum reverse was selected again with the engines spooling up to 84% thrust. The reversers still failed to deploy. Thirty-two seconds after touchdown the airplane had reached the end of the runway. It crossed the runway threshold at a speed of 215 km/h (116 kts). The flight engineer shut down the engines at the request of the captain. Then both landing gear struts compressed, causing the automatic release of air brakes and spoilers as well as the deployment of the thrust reversers. The distance between the end of the runway and the M3 highway embankment is about 320 m (1050 ft) on downsloping terrain with a sharp dropoff of 10 metres (33 ft) at the embankment. The airplane collided with the embankment at a speed of 190 km/h (103 kts). It broke in three and the forward part of the fuselage came to rest on the highway.It had been snowing prior to the accident and there was a significant cross wind with gusts up to 29 knots. Runway 24 was closed since 19 December according to an airport Notam: ""A5127/12 - RWY 06/24 CLSD FOR TKOF AND LDG OF ALL TYPES ACFT. 19 DEC 06:30 2012 UNTIL 31 MAR 23:59 2013. CREATED: 19 DEC 07:46 2012""",16:33,2 Soloviev PS-90A,,Written off (damaged beyond repair),209 m (686 feet) amsl,9268,,,,,,,
1611,20121231-0,Preliminary,Monday 31 December 2012,British Aerospace 3101 Jetstream 31,EasySky,HR-AWG,764,1987-07-29  (25 years 5 months),Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 19,Substantial,San Pedro Sula Airport (SAP) (   Honduras),Landing (LDG),Domestic Scheduled Passenger,"Roatán Airport (RTB/MHRO), Honduras","San Pedro Sula-Ramon Villeda Morales Airport (SAP/MHLM), Honduras","A Jetstream 31 passenger plane sustained substantial damage in a runway excursion accident at San Pedro Sula Airport (SAP), Honduras.There were no fatalities. One of the pilots suffered minor injuries.The airplane operated EasySky's regular domestic flight EKY 734 Roatan Airport (RTB) to San Pedro Sula. Upon landing the airplane veered off the runway and came to rest in a ditch.San Pedro Sula Airport has a single concrete runway, 04/22. Length is 9203 feet (2805 m).",10:14,,,,,734,,,,,,,
1612,20130102-0,Final,Wednesday 2 January 2013,Saab 340A,SOL Líneas Aéreas,LV-BMD,340A-123,1988-05-31  (24 years 7 months),Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 30,Fatalities: 0 / Occupants: 33,Substantial,"Mendoza-El Plumerillo Airport, MD (MDZ) (   Argentina)",Taxi (TXI),Domestic Scheduled Passenger,"Mendoza-El Plumerillo Airport, MD (MDZ/SAME), Argentina","Comodoro Rivadavia Airport, CB (CRD/SAVC), Argentina","A Saab 340A passenger plane, registered LV-BMD, sustained damage in a taxiway excursion accident at Mendoza-El Plumerillo Airport, MD (MDZ), Argentina. There were no injuries among the 30 passengers and three crew members.SOL Líneas Aéreas flight 5420 was taxiing for takeoff at Mendoza-El Plumerillo Airport when the crew lost directional control of the aircraft. The airplane exited the taxiway and came to rest on rough terrain. Propeller blades of engine no. 1 were damaged, with shrapnel causing a 5 cm long hole in the fuselage.Aviation sources in Argentina reported in March 2013 that the airplane was considered damaged beyond economical repair.",10:11,2 General Electric CT7-5A2,,Written off (damaged beyond repair),,8R5420,47798,,,,,,
1613,20130202-0,Final,Saturday 2 February 2013,ATR 72-212A (ATR 72-500),,YR-ATS,533,1997-11-05  (15 years 3 months),Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 46,Fatalities: 0 / Occupants: 50,Substantial,Roma-Fiumicino Airport (FCO) (   Italy),Landing (LDG),Domestic Scheduled Passenger,"Pisa-Galileo Galilei Airport (PSA/LIRP), Italy","Roma-Fiumicino Airport (FCO/LIRF), Italy","An ATR-72 passenger plane, registered YR-ATS, sustained substantial damage in a landing accident at Roma-Fiumicino Airport (FCO), Italy. Of the 50 occupants, five sustained serious injuries.Alitalia flight 1670 had departed Pisa-Galileo Galilei Airport (PSA) on a domestic flight to Roma-Fiumicino Airport (FCO). This flight was operated by Carpatair on behalf of Alitalia. The airplane flew the approach in strong cross wind conditions with wind shear reported at runway 16L some fifteen minutes before the landing. Shortly before touchdown the airplane suddenly lost altitude and impacted the runway with the nose landing gear. This was at a distance of 567 meters from the runway threshold.It bounced three times, causing the nose and main gear to collapse. The airplane slid off the left side of the runway and came to rest in the grass near taxiway DE, at a distance of about 1780 meters from the runway threshold. The aircraft had also performed a rotation on the vertical axis of 170°, thus assuming a definitive orientation of about 330° magnetic. It came to rest 400 m from fire station no. 1. However, it took the fire services ten minutes to reach the airplane because they were not aware of the precise location of the accident.The airplane landed in strong winds from 250 degrees on runway 16L. Runway 25 at Fiumicino was Notamed not available for landings due to work in progress.The Fiumicino Notam reported at the time of the accident of the following limitations of the runway 16L ILS:- LOCALIZER AT 17NM MRA 3000FT AND AT 25NM MRA 4000FT- GLIDE PATH COVERAGE REDUCED AT 8.5NMThe ATR 72-212 has a demonstrated maximum crosswind component of 35 kts on a dry runway.",20:32,2 Pratt & Whitney Canada PW127F,,Written off (damaged beyond repair),,AZ1670,24088,,,,,Carpatair,Alitalia
